名詞,,サ変名詞,,形容動詞,,副詞可能,,未知語,,タグ,,感動詞,,動詞,,形容詞,,副詞,,名詞B,,動詞B,,形容詞B,,副詞B,,名詞C,,否定助動詞,
銀行,13,手続き,8,大変,2,場合,4,払戻,7,電話番号,6,はい,40,頂く,5,近い,1,一応,5,たん,1,する,28,ない,3,まず,3,形,2,ない,7
当行,11,確認,7,自動的,1,今,3,ATM,6,携帯電話,3,あのー,20,分かる,5,,,一度,1,とこ,1,なる,9,よろしい,1,どうして,2,手,1,ん,4
スーパー,4,対応,4,別,1,あと,1,,,期限外,1,えーと,9,思う,4,,,後で,1,,,ある,5,,,すぐ,1,数,1,,
金額,4,連絡,4,,,一番,1,,,支店窓口,1,えー,7,受ける,3,,,誠に,1,,,ござる,4,,,そう,1,先,1,,
行政,4,お受け取り,3,,,過去,1,,,担当者,1,あっ,6,出来る,3,,,,,,,いう,3,,,そのまま,1,他,1,,
手元,4,電話,3,,,近く,1,,,料金残高,1,ええ,6,間違える,2,,,,,,,かける,2,,,ちょっと,1,,,,
書類,4,指定,2,,,始め,1,,,,,うん,3,言う,2,,,,,,,かしこまる,2,,,なかには,1,,,,
払戻金,4,免除,2,,,先程,1,,,,,え,3,取れる,2,,,,,,,くる,2,,,まあ,1,,,,
伺い,3,お願い,1,,,,,,,,,ごめんなさい,2,預かる,2,,,,,,,いただける,1,,,もちろん,1,,,,
手数料,3,お送り,1,,,,,,,,,あー,1,改める,1,,,,,,,える,1,,,よろしく,1,,,,
ご存じ,2,お伝え,1,,,,,,,,,ありがとう,1,行ける,1,,,,,,,おっしゃる,1,,,,,,,,
コール,2,お話,1,,,,,,,,,えーっと,1,差し引く,1,,,,,,,とる,1,,,,,,,,
センター,2,メモ,1,,,,,,,,,えっ,1,伺う,1,,,,,,,なりすます,1,,,,,,,,
期限,2,委託,1,,,,,,,,,そのー,1,終わる,1,,,,,,,,,,,,,,,,
市役所,2,該当,1,,,,,,,,,なるほど,1,出す,1,,,,,,,,,,,,,,,,
自体,2,共通,1,,,,,,,,,もしもし,1,出る,1,,,,,,,,,,,,,,,,
本人,2,準備,1,,,,,,,,,,,申す,1,,,,,,,,,,,,,,,,
お金,1,申請,1,,,,,,,,,,,探す,1,,,,,,,,,,,,,,,,
お手数,1,接続,1,,,,,,,,,,,入れる,1,,,,,,,,,,,,,,,,
キャッシュカード,1,総合,1,,,,,,,,,,,聞く,1,,,,,,,,,,,,,,,,
コーナー,1,送金,1,,,,,,,,,,,歩く,1,,,,,,,,,,,,,,,,
コンピュータ,1,到着,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
看板,1,復唱,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
機械,1,用意,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
口座,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
控え,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支店,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
事前,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
時点,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自身,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自宅,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
全国,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
足労,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
通帳,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内容,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
番号,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本店,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
