名詞,,サ変名詞,,形容動詞,,人名,,ナイ形容,,副詞可能,,未知語,,タグ,,感動詞,,動詞,,副詞,,動詞B,,形容詞B,,副詞B,,名詞C,,否定助動詞,
画面,2,確認,14,大丈夫,2,まみ,1,間違い,1,今度,6,OO,2,電話番号,2,はい,22,押す,12,多分,1,なる,5,ない,3,どう,4,次,3,ない,2
分ち,2,振り込み,1,普通,2,,,,,今,2,ぇそしたら,1,金融機関,1,あ,3,出る,2,,,いく,1,いい,1,もう,3,円,1,ぬ,1
カード,1,振込,1,,,,,,,場合,2,ぇと,1,分からん,1,え,2,違う,1,,,する,1,,,そう,1,,,,
キャッシュカード,1,,,,,,,,,,,むめものみ,1,,,うん,1,入れる,1,,,,,,,ちょっと,1,,,,
ボタン,1,,,,,,,,,,,,,,,えと,1,分かる,1,,,,,,,,,,,,
銀行,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支店,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数字,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
明細,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
