名詞,,サ変名詞,,形容動詞,,副詞可能,,感動詞,,動詞,,形容詞,,副詞,,名詞B,,動詞B,,形容詞B,,副詞B,,名詞C,,否定助動詞,,形容詞（非自立）,
扁桃腺,3,検査,2,大変,1,今,3,うん,12,言う,5,早い,3,一応,2,うつ,1,ある,3,ない,1,ちょっと,9,嘘,1,ない,8,いい,1
急性,2,仕事,1,,,結果,2,ごめん,2,折り返す,3,若い,2,色々,1,しこり,1,いる,2,,,すぐ,3,喉,1,,,にくい,1
細胞,2,電話,1,,,最近,1,はい,2,寝る,2,,,全然,1,,,する,2,,,ずっと,2,歳,1,,,,
子ども,2,病気,1,,,明日,1,あぁ,1,悩む,2,,,本当に,1,,,かける,1,,,まだ,2,首,1,,,,
女性,2,,,,,,,あの,1,分かる,2,,,,,,,くる,1,,,やっぱ,2,,,,,,
お父さん,1,,,,,,,いやぁ,1,起こす,1,,,,,,,つくる,1,,,さ,1,,,,,,
ストレス,1,,,,,,,え,1,行く,1,,,,,,,できる,1,,,さして,1,,,,,,
医者,1,,,,,,,その,1,待つ,1,,,,,,,なる,1,,,とりあえず,1,,,,,,
炎症,1,,,,,,,なんか,1,入る,1,,,,,,,,,,,,,,,,,,
疲れ,1,,,,,,,ま,1,聞く,1,,,,,,,,,,,,,,,,,,
病院,1,,,,,,,もしもし,1,抱える,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,落ち着く,1,,,,,,,,,,,,,,,,,,
