名詞,,サ変名詞,,形容動詞,,副詞可能,,未知語,,タグ,,感動詞,,動詞,,形容詞,,副詞,,名詞B,,動詞B,,形容詞B,,副詞B,,名詞C,,否定助動詞,,形容詞（非自立）,
本人,7,連絡,14,大丈夫,4,今,5,ぉ,11,携帯電話,4,あっ,14,落とす,8,多い,4,一応,3,あと,4,する,28,うい,15,そう,5,家,3,ない,7,良い,1
ホント,5,お願い,7,大変,2,全部,3,ぇ,4,タカハシ,1,さぁ,13,言う,7,,,一旦,1,ところ,1,はいる,9,よろしい,3,ちょっと,4,虞,1,ん,6,,
書類,4,携帯,7,,,今回,2,ぁ,3,固定電話,1,うん,6,思う,6,,,改めて,1,らち,1,いる,7,ない,2,たぶん,3,形,1,,,,
警察,3,電話,7,,,今日,2,ょっ,1,,,ごめん,6,見つかる,5,,,,,,,わかる,5,いい,1,もしも,3,件,1,,,,
財布,3,悪用,4,,,あと,1,,,,,あぁ,5,分かる,4,,,,,,,なる,4,おかしい,1,また,2,出,1,,,,
名前,3,確認,4,,,時間,1,,,,,えっ,4,見る,2,,,,,,,ある,3,,,あまた,1,他,1,,,,
落とし物,3,対応,4,,,本日,1,,,,,はい,4,答える,2,,,,,,,かしこまる,3,,,こう,1,,,,,,
センター,2,一緒,2,,,,,,,,,え,2,来る,2,,,,,,,かかる,2,,,さよう,1,,,,,,
身分,2,お待ち,1,,,,,,,,,はぁ,2,間違える,1,,,,,,,できる,2,,,ずっと,1,,,,,,
生年月日,2,外出,1,,,,,,,,,もぉ,2,行く,1,,,,,,,いう,1,,,だいたい,1,,,,,,
被害,2,関係,1,,,,,,,,,ありがと,1,持つ,1,,,,,,,いく,1,,,ちょくちょく,1,,,,,,
お孫さん,1,在宅,1,,,,,,,,,ありがとう,1,書く,1,,,,,,,おもう,1,,,まず,1,,,,,,
お母さん,1,失礼,1,,,,,,,,,あれ,1,申す,1,,,,,,,おる,1,,,まだ,1,,,,,,
お忙しい,1,質問,1,,,,,,,,,う,1,聞く,1,,,,,,,かける,1,,,もし,1,,,,,,
コンビニ,1,証明,1,,,,,,,,,ま,1,忘れる,1,,,,,,,くる,1,,,やっぱ,1,,,,,,
トイレ,1,進展,1,,,,,,,,,もしもし,1,,,,,,,,,しれる,1,,,よろしく,1,,,,,,
皆様,1,説明,1,,,,,,,,,,,,,,,,,,,ほる,1,,,,,,,,,,
向こう,1,,,,,,,,,,,,,,,,,,,,,みつかる,1,,,,,,,,,,
自宅,1,,,,,,,,,,,,,,,,,,,,,むく,1,,,,,,,,,,
実家,1,,,,,,,,,,,,,,,,,,,,,やる,1,,,,,,,,,,
不在,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
